台股 ETF 分類總覽（115年03月）　共 333 檔,,,,
市值型：76檔　　高股息：34檔　　主題型：72檔　　債券型：104檔　　槓桿型：41檔　　商品/期貨型：6檔,,,,
類別,市場別,證券代號,證券簡稱,類別說明
市值型,上櫃,006201,元大富櫃50,追蹤代表性指數，依市值加權持股，分散風險，適合長期投資
市值型,上櫃,00858,永豐美國500大,
市值型,上櫃,009806,台新標普500,
市值型,上櫃,00980D,主動聯博投等入息,
市值型,上櫃,00980T,平衡凱基美國TOP,
市值型,上櫃,009814,富邦標普500,
市值型,上櫃,00985D,主動貝萊德優投等,
市值型,上市,0050,元大台灣50,
市值型,上市,0051,元大中型100,
市值型,上市,0057,富邦摩台,
市值型,上市,0061,元大寶滬深,
市值型,上市,006203,元大MSCI台灣,
市值型,上市,006205,富邦上証,
市值型,上市,00625K,富邦上証+R,
市值型,上市,006204,永豐臺灣加權,
市值型,上市,006206,元大上證50,
市值型,上市,006207,復華滬深,
市值型,上市,006208,富邦台50,
市值型,上市,00636,國泰中國A50,
市值型,上市,00636K,國泰中國A50+U,
市值型,上市,00639,富邦深100,
市值型,上市,00645,富邦日本,
市值型,上市,00643,群益深証中小,
市值型,上市,00643K,群益深証中小+R,
市值型,上市,00646,元大S&P500,
市值型,上市,00657,國泰日經225,
市值型,上市,00657K,國泰日經225+U,
市值型,上市,00660,元大歐洲50,
市值型,上市,00661,元大日經225,
市值型,上市,00662,富邦NASDAQ,
市值型,上市,00668,國泰美國道瓊,
市值型,上市,00668K,國泰美國道瓊+U,
市值型,上市,00690,兆豐藍籌30,
市值型,上市,00692,富邦公司治理,
市值型,上市,00700,富邦恒生國企,
市值型,上市,00703,台新MSCI中國,
市值型,上市,00709,富邦歐洲,
市值型,上市,00733,富邦臺灣中小,
市值型,上市,00736,國泰新興市場,
市值型,上市,00739,元大MSCI A股,
市值型,上市,00752,中信中國50,
市值型,上市,00783,富邦中証500,
市值型,上市,00894,中信小資高價30,
市值型,上市,00922,國泰台灣領袖50,
市值型,上市,00924,復華S&P500成長,
市值型,上市,00949,復華日本龍頭,
市值型,上市,00938,凱基優選30,
市值型,上市,00971,野村美國研發龍頭,
市值型,上市,009800,中信NASDAQ,
市值型,上市,009803,玉山市值動能50,
市值型,上市,009802,富邦旗艦50,
市值型,上市,009804,聯邦台精彩50,
市值型,上市,00980A,主動野村臺灣優選,
市值型,上市,009808,華南永昌優選50,
市值型,上市,00982A,主動群益台灣強棒,
市值型,上市,00981A,主動統一台股增長,
市值型,上市,009810,玉山全球藍籌100,
市值型,上市,00985A,主動野村台灣50,
市值型,上市,009811,統一美國50,
市值型,上市,00986A,主動台新龍頭成長,
市值型,上市,009812,野村日本東證,
市值型,上市,00981T,平衡凱基雙核收息,
市值型,上市,00982D,主動富邦動態入息,
市值型,上市,00983D,主動富邦複合收益,
市值型,上市,009813,貝萊德標普卓越50,
市值型,上市,00991A,主動復華未來50,
市值型,上市,00982T,平衡兆豐台美動能,
市值型,上市,00987A,主動台新優勢成長,
市值型,上市,00994A,主動第一金台股優,
市值型,上市,00995A,主動中信台灣卓越,
市值型,上市,009816,凱基台灣TOP50,
市值型,上市,00993A,主動安聯台灣,
市值型,上市,00984D,主動聯博全球非投,
市值型,上市,00996A,主動兆豐台灣豐收,
市值型,上市,00401A,主動摩根台灣鑫收,
市值型,上市,00997A,主動群益美國增長,
高股息,上市,0056,元大高股息,篩選高配息率股票，提供穩定現金流，適合退休族或存股族
高股息,上市,00701,國泰股利精選30,
高股息,上市,00702,國泰標普低波高息,
高股息,上市,00713,元大台灣高息低波,
高股息,上市,00717,富邦美國特別股,
高股息,上市,00730,富邦臺灣優質高息,
高股息,上市,00731,復華富時高息低波,
高股息,上市,00771,元大US高息特別股,
高股息,上市,00878,國泰永續高股息,
高股息,上市,00882,中信中國高股息,
高股息,上市,00900,富邦特選高股息30,
高股息,上市,00908,富邦入息REITs+,
高股息,上市,00907,永豐優息存股,
高股息,上市,00915,凱基優選高股息30,
高股息,上市,00919,群益台灣精選高息,
高股息,上市,00918,大華優利高填息30,
高股息,上市,00929,復華台灣科技優息,
高股息,上市,00930,永豐ESG低碳高息,
高股息,上市,00932,兆豐永續高息等權,
高股息,上市,00934,中信成長高股息,
高股息,上市,00936,台新永續高息中小,
高股息,上市,00939,統一台灣高息動能,
高股息,上市,00940,元大台灣價值高息,
高股息,上市,00944,野村趨勢動能高息,
高股息,上市,00946,群益科技高息成長,
高股息,上市,00943,兆豐電子高息等權,
高股息,上市,00956,中信日經高股息,
高股息,上市,00961,FT臺灣永續高息,
高股息,上市,00963,中信全球高股息,
高股息,上市,00964,中信亞太高股息,
高股息,上市,00962,台新AI優息動能,
高股息,上市,00972,野村日本動能高息,
高股息,上市,00984A,主動安聯台灣高息,
高股息,上市,00400A,主動國泰動能高息,
主題型,上櫃,00877,復華中國5G,聚焦特定產業（科技、半導體、ESG）或趨勢，掌握特定成長機會
主題型,上櫃,00886,永豐美國科技,
主題型,上櫃,00887,永豐中國科技50大,
主題型,上櫃,00888,永豐台灣ESG,
主題型,上櫃,00928,中信上櫃ESG 30,
主題型,上櫃,00955,中信日本商社,
主題型,上櫃,009807,台新標普科技精選,
主題型,上櫃,009815,大華美國MAG7+,
主題型,上市,0052,富邦科技,
主題型,上市,0053,元大電子,
主題型,上市,0055,元大MSCI金融,
主題型,上市,00652,富邦印度,
主題型,上市,00678,群益那斯達克生技,
主題型,上市,00712,復華富時不動產,
主題型,上市,00714,群益道瓊美國地產,
主題型,上市,00728,第一金工業30,
主題型,上市,00735,國泰臺韓科技,
主題型,上市,00737,國泰AI機器人,
主題型,上市,00757,統一FANG+,
主題型,上市,00762,元大全球AI,
主題型,上市,00770,國泰北美科技,
主題型,上市,00830,國泰費城半導體,
主題型,上市,00851,台新全球AI,
主題型,上市,00850,元大臺灣ESG永續,
主題型,上市,00861,元大全球未來通訊,
主題型,上市,00875,國泰網路資安,
主題型,上市,00876,元大全球5G,
主題型,上市,00881,國泰台灣科技龍頭,
主題型,上市,00885,富邦越南,
主題型,上市,00891,中信關鍵半導體,
主題型,上市,00892,富邦台灣半導體,
主題型,上市,00893,國泰智能電動車,
主題型,上市,00895,富邦未來車,
主題型,上市,00896,中信綠能及電動車,
主題型,上市,00897,富邦基因免疫生技,
主題型,上市,00898,國泰基因免疫革命,
主題型,上市,00901,永豐智能車供應鏈,
主題型,上市,00899,FT潔淨能源,
主題型,上市,00903,富邦元宇宙,
主題型,上市,00902,中信電池及儲能,
主題型,上市,00904,新光臺灣半導體30,
主題型,上市,00905,FT臺灣Smart,
主題型,上市,00911,兆豐洲際半導體,
主題型,上市,00912,中信臺灣智慧 50,
主題型,上市,00909,國泰數位支付服務,
主題型,上市,00910,第一金太空衛星,
主題型,上市,00913,兆豐台灣晶圓製造,
主題型,上市,00917,中信特選金融,
主題型,上市,00916,國泰全球品牌50,
主題型,上市,00920,富邦ESG綠色電力,
主題型,上市,00921,兆豐龍頭等權重,
主題型,上市,00923,群益台ESG低碳50,
主題型,上市,00926,凱基全球菁英55,
主題型,上市,00927,群益半導體收益,
主題型,上市,00935,野村臺灣新科技50,
主題型,上市,00941,中信上游半導體,
主題型,上市,00947,台新臺灣IC設計,
主題型,上市,00951,台新日本半導體,
主題型,上市,00954,中信日本半導體,
主題型,上市,00952,凱基台灣AI 50,
主題型,上市,00960,野村全球航運龍頭,
主題型,上市,00965,元大航太防衛科技,
主題型,上市,009801,中信美國創新科技,
主題型,上市,009805,新光美國電力基建,
主題型,上市,00983A,主動中信ARK創新,
主題型,上市,009809,富邦淨零ESG50,
主題型,上市,00989A,主動摩根美國科技,
主題型,上市,00988A,主動統一全球創新,
主題型,上市,00990A,主動元大AI新經濟,
主題型,上市,00992A,主動群益科技創新,
主題型,上市,009817,國泰日本不動產,
主題型,上市,009818,華南永昌NASDAQxT,
債券型,上櫃,00679B,元大美債20年,投資各類債券型（美國國債、投資級公司債等），相對穩健的固定收益
債券型,上櫃,00687B,國泰20年美債,
債券型,上櫃,00687C,國泰20年美債+櫃U,
債券型,上櫃,00694B,富邦美債1-3,
債券型,上櫃,00695B,富邦美債7-10,
債券型,上櫃,00696B,富邦美債20年,
債券型,上櫃,00697B,元大美債7-10,
債券型,上櫃,00719B,元大美債1-3,
債券型,上櫃,00720B,元大投資級公司債,
債券型,上櫃,00722B,群益投資級電信債,
債券型,上櫃,00723B,群益投資級科技債,
債券型,上櫃,00724B,群益投資級金融債,
債券型,上櫃,00725B,國泰投資級公司債,
債券型,上櫃,00726B,國泰新興投等債,
債券型,上櫃,00727B,國泰優選非投等債,
債券型,上櫃,00734B,台新JPM新興債,
債券型,上櫃,00740B,富邦全球投等債,
債券型,上櫃,00741B,富邦全球非投等債,
債券型,上櫃,00746B,富邦A級公司債,
債券型,上櫃,00749B,凱基新興債10+,
債券型,上櫃,00750B,凱基科技債10+,
債券型,上櫃,00751B,元大AAA至A公司債,
債券型,上櫃,00754B,群益AAA-AA公司債,
債券型,上櫃,00755B,群益投資級公用債,
債券型,上櫃,00756B,群益投等新興公債,
債券型,上櫃,00758B,復華能源債,
債券型,上櫃,00759B,復華製藥債,
債券型,上櫃,00760B,復華新興企業債,
債券型,上櫃,00761B,國泰A級公司債,
債券型,上櫃,00764B,群益25年美債,
債券型,上櫃,00768B,復華20年美債,
債券型,上櫃,00772B,中信高評級公司債,
債券型,上櫃,00773B,中信優先金融債,
債券型,上櫃,00777B,凱基AAA至A公司債,
債券型,上櫃,00778B,凱基金融債20+,
債券型,上櫃,00779B,凱基美債25+,
債券型,上櫃,00780B,國泰A級金融債,
債券型,上櫃,00781B,國泰A級科技債,
債券型,上櫃,00782B,國泰A級公用債,
債券型,上櫃,00785B,富邦金融投等債,
債券型,上櫃,00786B,元大10年IG銀行債,
債券型,上櫃,00787B,元大10年IG醫療債,
債券型,上櫃,00788B,元大10年IG電能債,
債券型,上櫃,00789B,復華公司債A3,
債券型,上櫃,00791B,復華信用債1-5,
債券型,上櫃,00792B,群益A級公司債,
債券型,上櫃,00793B,群益AAA-A醫療債,
債券型,上櫃,00795B,中信美國公債20年,
債券型,上櫃,00799B,國泰A級醫療債,
債券型,上櫃,00834B,第一金金融債10+,
債券型,上櫃,00836B,永豐10年A公司債,
債券型,上櫃,00840B,凱基IG精選15+,
債券型,上櫃,00841B,凱基AAA-AA公司債,
債券型,上櫃,00842B,台新美元銀行債,
債券型,上櫃,00844B,新光15年IG金融債,
債券型,上櫃,00845B,富邦新興投等債,
債券型,上櫃,00846B,富邦歐洲銀行債,
債券型,上櫃,00847B,中信美國市政債,
債券型,上櫃,00848B,中信新興亞洲債,
債券型,上櫃,00849B,中信EM主權債0-5,
債券型,上櫃,00853B,統一美債10年Aa-A,
債券型,上櫃,00856B,永豐1-3年美公債,
債券型,上櫃,00857B,永豐20年美公債,
債券型,上櫃,00859B,群益0-1年美債,
債券型,上櫃,00860B,群益1-5Y投資級債,
債券型,上櫃,00862B,中信投資級公司債,
債券型,上櫃,00863B,中信全球電信債,
債券型,上櫃,00864B,中信美國公債0-1,
債券型,上櫃,00867B,新光A-BBB電信債,
債券型,上櫃,00870B,元大15年EM主權債,
債券型,上櫃,00883B,中信ESG投資級債,
債券型,上櫃,00884B,中信低碳新興債,
